"X600","X840","X1080","X1320","X1560","X1800"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA
NA,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,NA
NA,NA,1,NA,NA,NA
NA,NA,NA,0,NA,NA
NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,1
NA,NA,NA,0,NA,NA
NA,1,NA,1,NA,NA
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,1,NA
NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,NA
NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA
NA,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
